epoch,mseTestNetwork1,mseTestNetwork2
1,539.317,594.497,
2,429.178,529.266,
3,379.595,482.461,
4,354.306,448.539,
5,340.228,423.509,
6,331.861,404.673,
7,326.621,390.23,
8,323.191,378.962,
9,320.859,370.034,
10,319.218,362.861,
11,318.03,357.029,
12,317.143,352.233,
13,316.465,348.25,
14,315.934,344.914,
15,315.507,342.096,
16,315.156,339.698,
17,314.862,337.643,
18,314.609,335.873,
19,314.389,334.337,
20,314.192,332.999,

Test,81.136,84.8337,
